Jaar;Kwartaal;Groningen;Fryslân;Drenthe;Overijssel;Flevoland;Gelderland;Utrecht;Noord-Holland;Zuid-Holland;Zeeland;Noord-Brabant;Limburg
2019;1-4-2019;7,9;8,1;6,7;18,5;5,8;32,8;27,7;56,5;61,9;6,1;44,6;17,3
2019;1-7-2019;7,5;7,7;6,2;17,9;5,8;31,2;26,7;55;59,7;5,8;43,3;16,8
2019;1-10-2019;7,3;7,5;6,3;18;5,8;31;26,7;54,2;59,9;5,7;42,6;16,2
2020;1-1-2020;5,8;6;5,3;13,9;4,4;24,4;21,7;42,7;46,7;4,6;33,4;12,8
2020;1-4-2020;5,3;5,6;4,8;13;4,1;22,1;19,4;37,1;42,6;4,2;30,4;11,8
2020;1-7-2020;5,9;6,2;5,2;13,9;4,4;24,1;20,8;39,8;45,3;4,5;33,1;12,5
2020;1-10-2020;5,6;5,9;4,8;13,6;4,1;24;21,3;40,4;45,3;4,1;32,7;11,9
2021;1-1-2021;6,8;7,1;5,7;15,9;4,9;27,6;24,5;47,5;52,2;5,1;37,1;14,3
2021;1-4-2021;9,4;9,7;7,8;21,4;6,7;37,1;31,2;63,6;68,5;7;52;19,5
2021;1-7-2021;10,2;10,8;8,9;24,1;7,6;41,5;34,3;71,7;77,8;7,9;59,3;22,1
2021;1-10-2021;10,4;10,8;9;23,9;7,7;41,5;34,7;72,2;77,2;7,9;59,2;21,8
2022;1-1-2022;12,4;12,8;10,8;28,3;9;49,6;41,5;85,7;92;9,6;71,1;25,5
2022;1-4-2022;13,4;13,7;11,6;30,4;9,8;54,6;43,9;91,1;99,5;10,4;74,6;26,8
;;;;;;;;;;;;;
;;;;;;;;;;;;;
