,Perioden,Totaal aantal bedrijven,1 werkzaam persoon,2 werkzame personen,3 tot 5 werkzame personen,5 tot 10 werkzame personen,10 tot 20 werkzame personen,20 tot 50 werkzame personen,50 tot 100 werkzame personen,100 of meer werkzame personen,Natuurlijke personen,Rechtspersonen
0,2007 1e kwartaal,987345.0,619565.0,158445.0,81295.0,60100.0,32635.0,20280.0,7170.0,7855.0,702465.0,284880.0
1,2007 2e kwartaal,1012210.0,641795.0,159225.0,82530.0,60370.0,32790.0,20295.0,7165.0,8040.0,720725.0,291490.0
2,2007 3e kwartaal,1040415.0,672410.0,157220.0,82565.0,60085.0,32785.0,20285.0,7150.0,7910.0,745770.0,294640.0
3,2007 4e kwartaal,1057860.0,687525.0,160035.0,82930.0,59680.0,32620.0,20200.0,7040.0,7825.0,760030.0,297830.0
4,2008 1e kwartaal,1087470.0,720745.0,158780.0,81475.0,59135.0,32555.0,20035.0,7000.0,7745.0,775095.0,312375.0
5,2008 2e kwartaal,1088095.0,720860.0,159185.0,81870.0,59025.0,32545.0,19960.0,6940.0,7705.0,778695.0,309400.0
6,2008 3e kwartaal,1112885.0,746650.0,158440.0,82110.0,58750.0,32530.0,19890.0,6870.0,7650.0,798730.0,314155.0
7,2008 4e kwartaal,1127895.0,758055.0,160300.0,83020.0,59230.0,32805.0,19975.0,6865.0,7650.0,815390.0,312505.0
8,2009 1e kwartaal,1154590.0,789450.0,157820.0,80475.0,60480.0,31785.0,19865.0,7055.0,7660.0,830765.0,323825.0
9,2009 2e kwartaal,1158835.0,791475.0,158830.0,81305.0,59255.0,32590.0,20450.0,7090.0,7835.0,832030.0,326805.0
10,2009 3e kwartaal,1189525.0,820110.0,166525.0,84530.0,56225.0,29890.0,18490.0,6425.0,7325.0,859565.0,329955.0
11,2009 4e kwartaal,1211460.0,841620.0,169290.0,82575.0,54950.0,30525.0,18635.0,6490.0,7375.0,881655.0,329805.0
12,2010 1e kwartaal,1214570.0,841865.0,170690.0,80840.0,57875.0,30175.0,18910.0,6750.0,7470.0,887070.0,327505.0
13,2010 2e kwartaal,1227405.0,855400.0,169010.0,81305.0,58195.0,30320.0,18900.0,6775.0,7495.0,894850.0,332555.0
14,2010 3e kwartaal,1250505.0,882240.0,168165.0,80240.0,57435.0,29950.0,18465.0,6645.0,7370.0,914390.0,336115.0
15,2010 4e kwartaal,1265225.0,874475.0,171145.0,88330.0,64830.0,32590.0,19505.0,6880.0,7470.0,933055.0,332170.0
16,2011 1e kwartaal,1277720.0,887960.0,170460.0,88560.0,64925.0,32260.0,19380.0,6765.0,7410.0,943415.0,334305.0
17,2011 2e kwartaal,1283690.0,894405.0,170450.0,89050.0,64600.0,31790.0,19375.0,6650.0,7370.0,947365.0,336325.0
18,2011 3e kwartaal,1307195.0,920050.0,169440.0,88820.0,64185.0,31455.0,19245.0,6645.0,7355.0,966875.0,340315.0
19,2011 4e kwartaal,1318410.0,928125.0,170305.0,89070.0,64995.0,32120.0,19515.0,6815.0,7475.0,979210.0,339200.0
20,2012 1e kwartaal,1341545.0,947780.0,173150.0,89625.0,65020.0,32270.0,19555.0,6710.0,7430.0,996305.0,345240.0
21,2012 2e kwartaal,1347110.0,957000.0,171585.0,88770.0,64395.0,31965.0,19330.0,6665.0,7400.0,1000655.0,346455.0
22,2012 3e kwartaal,1358745.0,969185.0,171925.0,88990.0,63985.0,31530.0,19205.0,6605.0,7320.0,1006220.0,352525.0
23,2012 4e kwartaal,1362175.0,973160.0,171040.0,88675.0,64225.0,31720.0,19315.0,6680.0,7355.0,1015775.0,346400.0
24,2013 1e kwartaal,1365650.0,975775.0,173145.0,88510.0,63705.0,31525.0,19095.0,6565.0,7325.0,1017880.0,347770.0
25,2013 2e kwartaal,1373715.0,986620.0,172550.0,88330.0,63005.0,30880.0,18635.0,6495.0,7200.0,1021560.0,352155.0
26,2013 3e kwartaal,1392480.0,1007280.0,172305.0,88125.0,62545.0,30400.0,18300.0,6390.0,7135.0,1036010.0,356475.0
27,2013 4e kwartaal,1394290.0,1009890.0,171210.0,87630.0,62670.0,30765.0,18485.0,6440.0,7195.0,1042320.0,351970.0
28,2014 1e kwartaal,1401570.0,1020020.0,169850.0,87535.0,61925.0,30545.0,18195.0,6380.0,7125.0,1049125.0,352445.0
29,2014 2e kwartaal,1420010.0,1037755.0,170555.0,88005.0,62020.0,30040.0,18155.0,6355.0,7130.0,1059045.0,360965.0
30,2014 3e kwartaal,1437370.0,1056430.0,170600.0,87585.0,61680.0,29695.0,18025.0,6325.0,7030.0,1075465.0,361905.0
31,2014 4e kwartaal,1454080.0,1069715.0,171930.0,88100.0,62210.0,30310.0,18280.0,6430.0,7100.0,1095950.0,358125.0
32,2015 1e kwartaal,1468250.0,1084065.0,172055.0,88135.0,61940.0,30345.0,18235.0,6380.0,7090.0,1108455.0,359795.0
33,2015 2e kwartaal,1480090.0,1094155.0,172140.0,88455.0,62500.0,30595.0,18405.0,6590.0,7250.0,1114645.0,365445.0
34,2015 3e kwartaal,1506225.0,1121640.0,173160.0,88570.0,61460.0,29795.0,18045.0,6410.0,7140.0,1133230.0,372995.0
35,2015 4e kwartaal,1523635.0,1136220.0,173595.0,88855.0,62240.0,30555.0,18440.0,6540.0,7185.0,1153875.0,369760.0
36,2016 1e kwartaal,1536050.0,1148860.0,173520.0,88905.0,62125.0,30540.0,18370.0,6495.0,7230.0,1165870.0,370175.0
37,2016 2e kwartaal,1549680.0,1162250.0,173790.0,88935.0,62180.0,30370.0,18405.0,6535.0,7220.0,1173915.0,375765.0
38,2016 3e kwartaal,1575635.0,1184635.0,176915.0,89390.0,62295.0,30335.0,18365.0,6500.0,7200.0,1193050.0,382585.0
39,2016 4e kwartaal,1581740.0,1186460.0,177905.0,90185.0,62985.0,31205.0,18975.0,6635.0,7385.0,1203760.0,377980.0
40,2017 1e kwartaal,1587250.0,1195400.0,175640.0,89160.0,62830.0,31330.0,18880.0,6625.0,7390.0,1209275.0,377975.0
41,2017 2e kwartaal,1606645.0,1213055.0,176905.0,89490.0,62940.0,31280.0,18865.0,6695.0,7410.0,1219080.0,387560.0
42,2017 3e kwartaal,1629995.0,1234215.0,178860.0,89810.0,62720.0,31230.0,18980.0,6705.0,7470.0,1236600.0,393395.0
43,2017 4e kwartaal,1648230.0,1249350.0,179270.0,90155.0,63400.0,32070.0,19550.0,6840.0,7590.0,1258210.0,390020.0
44,2018 1e kwartaal,1665795.0,1269775.0,178490.0,86895.0,64420.0,32210.0,19465.0,6880.0,7660.0,1273340.0,392455.0
45,2018 2e kwartaal,1676935.0,1279700.0,179375.0,87360.0,64525.0,31875.0,19500.0,6890.0,7710.0,1279110.0,397825.0
46,2018 3e kwartaal,1703400.0,1303660.0,181130.0,87640.0,64475.0,32215.0,19570.0,6940.0,7765.0,1300075.0,403325.0
47,2018 4e kwartaal,1726190.0,1323000.0,182555.0,87985.0,64575.0,33020.0,20085.0,7095.0,7875.0,1324705.0,401485.0
48,2019 1e kwartaal,1754580.0,1349770.0,183300.0,88690.0,64990.0,32760.0,20155.0,7060.0,7860.0,1344815.0,409765.0
49,2019 2e kwartaal,1772960.0,1367715.0,183455.0,89265.0,64965.0,32615.0,20030.0,7055.0,7855.0,1357860.0,415100.0
50,2019 3e kwartaal,1792145.0,1386375.0,184110.0,89180.0,64935.0,32510.0,20045.0,7070.0,7915.0,1375270.0,416870.0
51,2019 4e kwartaal,1828160.0,1417495.0,186805.0,89765.0,65150.0,33250.0,20535.0,7120.0,8040.0,1411285.0,416875.0
52,2020 1e kwartaal,1851165.0,1440295.0,181805.0,93400.0,66165.0,33760.0,20545.0,7145.0,8045.0,1431250.0,419915.0
53,2020 2e kwartaal,1871415.0,1458825.0,183760.0,93645.0,65990.0,33615.0,20395.0,7170.0,8015.0,1446010.0,425400.0
54,2020 3e kwartaal,1896405.0,1484495.0,184240.0,93570.0,65505.0,33130.0,20305.0,7135.0,8025.0,1466230.0,430175.0
55,2020 4e kwartaal,1899940.0,1487100.0,184850.0,93735.0,65950.0,33245.0,20085.0,7065.0,7910.0,1477215.0,422725.0
56,2021 1e kwartaal,1918945.0,1502745.0,186550.0,94205.0,66315.0,33750.0,20310.0,7125.0,7945.0,1492585.0,426365.0
57,2021 2e kwartaal,1955515.0,1538520.0,188795.0,95160.0,65880.0,32510.0,19690.0,7005.0,7955.0,1512875.0,442640.0
58,2021 3e kwartaal,2001120.0,1581140.0,191690.0,95710.0,65510.0,32485.0,19705.0,6945.0,7935.0,1543250.0,457870.0
59,2021 4e kwartaal,2046055.0,1619720.0,192630.0,96185.0,67335.0,34305.0,20700.0,7110.0,8065.0,1577655.0,468400.0
60,2022 1e kwartaal,2082615.0,1653330.0,193900.0,95890.0,67860.0,35080.0,21205.0,7230.0,8125.0,1603950.0,478660.0
61,2022 2e kwartaal,2086670.0,1659375.0,193125.0,96055.0,67710.0,34210.0,20850.0,7215.0,8125.0,1616230.0,470440.0
62,2022 3e kwartaal,2118140.0,1690410.0,192380.0,96050.0,67580.0,34985.0,21180.0,7290.0,8260.0,1637865.0,480275.0
63,2022 4e kwartaal,2151195.0,1721290.0,192335.0,96020.0,68370.0,35555.0,21750.0,7490.0,8380.0,1671785.0,479410.0
